Причина забраковки;Тип_%;Зарещен_%;Лаборатория_%;Экспертно;cluster;cluster_label
вода;0.6666666666666666;1.0;0.6666666666666666;6.0;1;5
вязкость;0.0;1.0;0.0;7.0;2;1
посторонние примеси;0.8166666666666667;0.9416666666666667;0.7;7.0;1;5
невидимые частицы;0.0;1.0;1.0;8.0;2;1
растворимость;0.5;1.0;0.0;5.0;0;2
во флаконах;1.0;1.0;1.0;7.0;1;5
обнаружение частиц;1.0;1.0;0.0;8.0;0;2
несоответствие качества;1.0;1.0;0.0;8.0;0;2
специфическая активность;1.0;0.0;0.0;7.0;0;2
прилипшая к;0.0;1.0;1.0;8.0;2;1
не подтверждена;0.6666666666666666;1.0;1.0;7.0;1;5
распадаемость;0.8;1.0;0.9333333333333333;5.0;1;5
мертиолят;1.0;1.0;1.0;8.0;1;5
упаковка;0.7;0.975;0.695;4.0;1;5
вместо ;0.6666666666666666;1.0;0.3333333333333333;7.0;0;2
средняя масса;0.65;1.0;0.65;4.0;1;5
бензалкония хлорид;1.0;1.0;1.0;4.0;1;5
неоднородные по;0.0;1.0;0.0;7.0;2;1
отсутствует маркировка;0.5;1.0;1.0;7.0;1;5
сопровождающий данный;1.0;1.0;1.0;7.0;1;5
регистрация декларации;1.0;1.0;1.0;8.0;1;5
упаковка ;0.42857142857142855;0.9714285714285714;0.37142857142857144;4.0;2;1
механические включения;0.75;1.0;0.6346153846153846;8.0;1;5
приостановление действия;0.0;1.0;1.0;8.0;2;1
невидимые;0.0;1.0;1.0;6.0;2;1
хранить в;0.0;1.0;0.0;5.0;2;1
отзыв деклараций;1.0;0.0;0.0;7.0;0;2
нежелательные реакции;0.5555555555555556;0.5555555555555556;0.2222222222222222;4.0;0;2
клотримазол;1.0;1.0;1.0;7.0;1;5
подлинность;0.6037735849056604;0.7735849056603774;0.6037735849056604;7.0;1;5
нанесена дата;1.0;1.0;0.0;4.0;0;2
описание ;0.6102941176470589;0.9411764705882353;0.6176470588235294;7.0;1;5
пропилпарагидроксибензоат;0.9736842105263158;1.0;0.9736842105263158;5.0;1;5
выявление потенциального;1.0;1.0;0.0;7.0;0;2
однородность дозировочных;0.6;0.4;0.6;7.0;1;5
почерневшие;0.0;1.0;1.0;8.0;2;1
в некоторых;0.5;1.0;0.5;8.0;2;1
обращение которой;0.0;0.0;1.0;7.0;2;1
ацетилсалициловая кислота;1.0;1.0;1.0;5.0;1;5
пирогенность;0.0;1.0;0.0;7.0;2;1
в связи;0.21621621621621623;1.0;0.8243243243243243;7.0;2;1
количественное определение;0.7192118226600985;0.8940886699507389;0.5073891625615764;8.0;1;5
и ее;0.9444444444444444;1.0;0.6111111111111112;;1;5
признаки фальсификации;1.0;1.0;0.0;4.0;0;2
по информации;1.0;1.0;1.0;7.0;1;5
выявление осколков;0.0;1.0;1.0;8.0;2;1
фальсификация;1.0;1.0;0.16666666666666666;4.0;0;2
определение выхода;0.5;1.0;1.0;8.0;1;5
любая единичная;0.75;1.0;1.0;5.0;1;5
описание восстановленного;1.0;1.0;0.0;7.0;0;2
ранее выявленное;0.0;0.0;1.0;6.0;2;1
ферментативная активность;0.5;1.0;0.5;8.0;2;1
однородность;0.7746478873239436;0.7887323943661971;0.6197183098591549;7.0;1;5
являющихся производными;1.0;1.0;0.0;7.0;0;2
определение размера;1.0;1.0;1.0;8.0;1;5
развитие нежелательных;0.32608695652173914;0.391304347826087;0.43478260869565216;4.0;2;1
салициловая кислота;0.9545454545454546;1.0;0.9090909090909091;7.0;1;5
тиамина гидрохлорид;1.0;1.0;1.0;8.0;1;5
восстанавливающие вещества;0.5;1.0;0.0;8.0;0;2
амлодипин;1.0;1.0;0.0;4.0;0;2
цветность;0.8888888888888888;0.6666666666666666;0.8518518518518519;8.0;1;5
стабильность;0.08695652173913043;1.0;1.0;4.0;2;1
на этикетках;0.875;1.0;0.125;4.0;0;2
05 г;0.5;1.0;0.5;;2;1
аномальная токсичность;0.5;1.0;0.5;7.0;2;1
протеолитическая активность;1.0;1.0;1.0;4.0;1;5
края неровные;0.0;1.0;0.0;5.0;2;1
остаточные органические;0.5230769230769231;1.0;0.49230769230769234;7.0;2;1
сопровождающая декларация;0.0;1.0;1.0;5.0;2;1
выявление несоответствия;1.0;1.0;1.0;7.0;1;5
родственные соединения;1.0;1.0;1.0;7.0;1;5
подлинность ципрофлоксацин;0.0;1.0;1.0;8.0;2;1
в ходе;0.4230769230769231;1.0;0.11538461538461539;7.0;0;2
указанным на;1.0;1.0;1.0;4.0;1;5
сумма примесей;0.25;1.0;1.0;8.0;2;1
в сериях;1.0;1.0;0.0;7.0;0;2
изьятие серий;1.0;1.0;0.0;4.0;0;2
токсичность;0.9411764705882353;0.7058823529411765;0.17647058823529413;7.0;0;2
стабильность препарата;0.0;1.0;1.0;7.0;2;1
отклонение от;1.0;1.0;0.5;7.0;1;5
вместо даты;1.0;1.0;0.0;7.0;0;2
техническая неисправность;0.0;0.3333333333333333;0.6666666666666666;4.0;2;1
отзыв производителем;0.9852941176470589;0.9852941176470589;0.9411764705882353;7.0;1;5
отзыв декларации;0.9868995633187773;0.8995633187772926;0.5982532751091703;7.0;1;5
